Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,1 - sem alergenico (5) de 20,,,2 - com alergenico (11) de 20
,,A - carboidrato e gordura,,,A - carboidrato e gordura
,,E - Carboidrato e gordura porém fruta,,,E - Carboidrato e gordura porém fruta
,,C - gordura,,,C - gordura
,,D - Carboidrado porém frutas,,,D - Carboidrado porém frutas
,,B - Craboidratos,,,B - Craboidratos
,,,,,% - Nutella
,,,,,% - Crack_com_mel
,,,,,% - Nozes com doce de leite
,,,,,% - nozes
,,,,,% - Leite_ninho_com_nutella
,,,,,% - Nozes com chocolate
,,,,,% - Paçoquinha
